ActBal_OVD,ActBal_Total_Asset,ActBal_Total_Liability,ActBal_Total,Age,Count_Total_Asset,Count_Total_Liability,Debt_To_Balance,Inflow_Outflow_Ratio,TransactionsDeb_PaymentOrder,TransactionsDebCash_Card,VolumeCred_CA,VolumeDeb_PaymentOrder,Revenue_MF
0.0,1333.8028571428572,0.0,1333.8028571428572,51.0,1.0,1.0,0.0,0.8876958650570201,9.0,3.0,1318.6982142857144,247.60714285714286,26.97267857142857
-1.0,13436.958928571428,0.0,13436.958928571428,43.0,2.0,-1.0,0.0,1.832430404485227,1.0,2.0,704.9357142857143,35.714285714285715,0.0
-1.0,4.297142857142857,1982.0710714285713,-1977.7739285714283,24.0,1.0,1.0,-1.0021727174158979,1.1486313005761561,0.0,1.0,448.42928571428575,0.0,0.0
326.9692857142857,0.0,326.9692857142857,-326.9692857142857,64.0,1.0,1.0,-1.0000000030583913,0.9914099077964493,0.0,10.0,458.60857142857145,0.0,0.0
-1.0,359.67214285714283,3458.2957142857144,-3098.6235714285717,66.0,2.0,1.0,-1.1160748105351164,0.9742947935651449,10.0,6.0,1095.6446428571428,312.5357142857143,0.0
-1.0,13611.926428571429,17115.45642857143,-3503.5300000000007,38.0,3.0,2.0,-4.885203333054556,1.8269615451632997,10.0,5.0,3567.309285714286,383.5357142857143,0.0
-1.0,1.5453571428571429,0.0,1.5453571428571429,26.0,1.0,-1.0,0.0,2.280257401120674,0.0,0.0,47.4375,0.0,0.0
-1.0,338.77642857142854,0.0,338.77642857142854,64.0,1.0,-1.0,0.0,0.2618679374166484,20.0,5.0,1309.474642857143,4023.7678571428573,0.0
-1.0,20496.534642857143,0.0,20496.534642857143,27.0,2.0,-1.0,0.0,2.04407902302674,3.0,3.0,451.55,103.57142857142857,0.0
-1.0,173934.60535714286,0.0,173934.60535714286,24.0,2.0,-1.0,0.0,0.810536574115888,3.0,4.0,409.30035714285714,64.28571428571429,0.0
-1.0,2492.1467857142857,0.0,2492.1467857142857,54.0,1.0,-1.0,0.0,0.67559471134519,9.0,4.0,2423.411071428571,1273.107142857143,0.0
0.0,62932.520000000004,0.0,62932.520000000004,27.0,2.0,1.0,0.0,1.0085435999221442,2.0,4.0,480.7871428571429,16.178571428571427,0.0
0.0,1649.98,0.0,1649.98,62.0,1.0,1.0,0.0,24.68637809317491,0.0,0.0,10134.567857142858,0.0,220.4882142857143
0.0,373.3542857142857,0.0,373.3542857142857,60.0,1.0,1.0,0.0,0.5178375077641556,1.0,1.0,192.62178571428572,89.28571428571429,0.0
-1.0,2336.8507142857143,1293.1025,1043.7482142857143,59.0,1.0,2.0,1.2389027172094638,0.43485832167864336,13.0,1.0,1056.0942857142857,843.8278571428572,0.0
-1.0,18635.575357142858,0.0,18635.575357142858,71.0,1.0,-1.0,0.0,1.1489822265063527,6.0,2.0,730.5721428571429,436.42857142857144,0.0
0.0,1531.8675,728.6689285714285,803.1985714285715,48.0,3.0,2.0,0.9072089438209616,2.233197717070272,11.0,6.0,18134.3675,5775.094285714286,0.6010714285714285
0.0,14.863214285714287,0.0,14.863214285714287,66.0,1.0,1.0,0.0,5.6775170244199486e-05,4.0,6.0,0.039642857142857146,245.78571428571428,0.0
-1.0,5671.467857142858,0.0,5671.467857142858,49.0,3.0,-1.0,0.0,7155630357.142858,0.0,0.0,7142.885,0.0,0.2380357142857143
-1.0,3869.186785714286,0.0,3869.186785714286,30.0,2.0,-1.0,0.0,1.3546958693545879,2.0,12.0,1188.0828571428572,238.92857142857142,0.0
-1.0,14306.995357142858,0.0,14306.995357142858,27.0,2.0,-1.0,0.0,1.0315125499064388,9.0,4.0,987.8585714285715,427.7142857142857,0.0
-1.0,871.7367857142857,0.0,871.7367857142857,27.0,1.0,-1.0,0.0,5.9405937300264866e-05,1.0,0.0,0.0010714285714285715,18.035714285714285,0.0
-1.0,875.3714285714286,0.0,875.3714285714286,23.0,4.0,-1.0,0.0,1.176614397429426,6.0,1.0,643.1878571428571,296.07142857142856,15.275714285714287
0.0,26315.770357142854,0.0,26315.770357142854,65.0,1.0,1.0,0.0,0.9947384768280623,13.0,7.0,1716.5910714285715,551.6428571428571,73.04178571428572
-1.0,186.8460714285714,0.0,186.8460714285714,35.0,1.0,-1.0,0.0,0.0005416584582266656,0.0,0.0,0.19642857142857142,0.0,0.0
-1.0,38757.89464285714,0.0,38757.89464285714,63.0,2.0,-1.0,0.0,1.7430521178372704,0.0,0.0,0.008571428571428572,0.0,0.0
-1.0,6023.434285714286,0.0,6023.434285714286,45.0,3.0,-1.0,0.0,0.5754390531804527,16.0,5.0,2469.470357142857,591.8571428571429,0.0
-1.0,2159.2817857142854,0.0,2159.2817857142854,45.0,4.0,-1.0,0.0,0.014923588424169285,19.0,0.0,0.10035714285714285,1053.375,0.0
0.0,62140.076785714286,0.0,62140.076785714286,64.0,3.0,1.0,0.0,1.1699617973424088,6.0,1.0,360.97499999999997,128.67857142857142,0.0
-1.0,4.145357142857143,0.0,4.145357142857143,46.0,2.0,-1.0,0.0,3.721441782544639,2.0,0.0,415.73821428571426,108.67857142857143,0.0
-1.0,169.5635714285714,0.0,169.5635714285714,33.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0,960.5725,0.4642857142857143,960.1082142857143,43.0,1.0,1.0,0.00048357644158637846,1.3605264583567596,0.0,1.0,0.0,0.0,0.0
531.1228571428571,90865.86428571428,929.4707142857143,89936.39357142858,64.0,4.0,2.0,0.010334756346852875,0.8007671522709046,34.0,8.0,4409.652142857142,3241.5910714285715,0.0
-1.0,3490.8085714285717,0.0,3490.8085714285717,54.0,2.0,-1.0,0.0,2.0415803754181874,0.0,3.0,964.9039285714287,0.0,0.0
-1.0,3056.9528571428573,0.0,3056.9528571428573,45.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0,3891.1160714285716,0.0,3891.1160714285716,20.0,1.0,-1.0,0.0,181.44208944766356,0.0,0.0,356.4042857142857,0.0,0.0
-1.0,220.45892857142857,0.0,220.45892857142857,67.0,1.0,-1.0,0.0,1.005637792944231,2.0,6.0,191.17892857142857,85.82142857142857,0.0
-1.0,4206.1728571428575,671.9992857142857,3534.173571428572,62.0,3.0,1.0,0.19014326035280413,0.17792203884696012,0.0,0.0,0.017857142857142856,0.0,0.0
0.0,4714.448214285714,0.0,4714.448214285714,54.0,1.0,1.0,0.0,1.0724294714252922,1.0,13.0,832.8860714285714,10.714285714285714,0.0
-1.0,1909.81,0.0,1909.81,41.0,1.0,-1.0,0.0,3.895833893921783,9.0,2.0,3851.0192857142856,653.7003571428571,42.71660714285714
0.0,53.59607142857143,0.0,53.59607142857143,43.0,1.0,1.0,0.0,0.9002665215342972,3.0,2.0,271.43035714285713,120.32142857142857,0.0
-1.0,1377.3742857142859,0.0,1377.3742857142859,47.0,1.0,-1.0,0.0,0.3416238563177064,10.0,1.0,430.82428571428574,880.1071428571429,0.0
0.0,53771.801785714284,0.0,53771.801785714284,87.0,3.0,1.0,0.0,1.21838322912888,2.0,0.0,533.3767857142857,304.51642857142855,0.0
-1.0,13688.566785714283,0.0,13688.566785714283,59.0,5.0,-1.0,0.0,0.9851131581738496,5.0,1.0,496.2525,266.5357142857143,0.004821428571428572
0.0,178.30857142857144,4334.251428571429,-4155.942857142857,66.0,1.0,3.0,-1.042904481269519,0.49922770937640787,0.0,2.0,659.2928571428572,0.0,0.0
-1.0,3684.7542857142857,0.0,3684.7542857142857,24.0,1.0,-1.0,0.0,1.584911270987449,10.0,3.0,4312.963571428571,683.6071428571429,0.0
