ActBal_CA,ActBal_CC,ActBal_Total_Asset,ActBal_Total_Liability,ActBal_Total,Age,Count_Total_Asset,Count_Total_Liability,Debt_To_Balance,Inflow_Outflow_Ratio,TransactionsCred,TransactionsDeb_PaymentOrder,TransactionsDeb,Revenue_CL
1333.8028571428572,-1.0,1333.8028571428572,0.0,1333.8028571428572,51.0,1.0,1.0,0.0,0.8876958650570201,25.0,9.0,50.0,0.0
110.76857142857143,-1.0,13436.958928571428,0.0,13436.958928571428,43.0,2.0,-1.0,0.0,1.832430404485227,4.0,1.0,6.0,0.0
4.297142857142857,-1.0,4.297142857142857,1982.0710714285713,-1977.7739285714283,24.0,1.0,1.0,-1.0021727174158979,1.1486313005761561,3.0,0.0,8.0,0.0
0.0,-1.0,0.0,326.9692857142857,-326.9692857142857,64.0,1.0,1.0,-1.0000000030583913,0.9914099077964493,25.0,0.0,42.0,0.0
353.83964285714285,-1.0,359.67214285714283,3458.2957142857144,-3098.6235714285717,66.0,2.0,1.0,-1.1160748105351164,0.9742947935651449,6.0,10.0,41.0,0.0
23.344642857142855,53.13214285714286,13611.926428571429,17115.45642857143,-3503.5300000000007,38.0,3.0,2.0,-4.885203333054556,1.8269615451632997,13.0,10.0,46.0,0.0
1.5453571428571429,-1.0,1.5453571428571429,0.0,1.5453571428571429,26.0,1.0,-1.0,0.0,2.280257401120674,2.0,0.0,2.0,0.0
338.77642857142854,-1.0,338.77642857142854,0.0,338.77642857142854,64.0,1.0,-1.0,0.0,0.2618679374166484,4.0,20.0,33.0,0.0
2194.472142857143,-1.0,20496.534642857143,0.0,20496.534642857143,27.0,2.0,-1.0,0.0,2.04407902302674,4.0,3.0,7.0,0.0
434.7425,-1.0,173934.60535714286,0.0,173934.60535714286,24.0,2.0,-1.0,0.0,0.810536574115888,3.0,3.0,22.0,0.0
2492.1467857142857,-1.0,2492.1467857142857,0.0,2492.1467857142857,54.0,1.0,-1.0,0.0,0.67559471134519,7.0,9.0,29.0,30.560357142857146
1868.2342857142855,-1.0,62932.520000000004,0.0,62932.520000000004,27.0,2.0,1.0,0.0,1.0085435999221442,3.0,2.0,7.0,0.0
1649.98,-1.0,1649.98,0.0,1649.98,62.0,1.0,1.0,0.0,24.68637809317491,4.0,0.0,2.0,0.0
373.3542857142857,-1.0,373.3542857142857,0.0,373.3542857142857,60.0,1.0,1.0,0.0,0.5178375077641556,5.0,1.0,8.0,0.0
2336.8507142857143,613.6017857142857,2336.8507142857143,1293.1025,1043.7482142857143,59.0,1.0,2.0,1.2389027172094638,0.43485832167864336,6.0,13.0,46.0,0.0
18635.575357142858,-1.0,18635.575357142858,0.0,18635.575357142858,71.0,1.0,-1.0,0.0,1.1489822265063527,5.0,6.0,13.0,14.989642857142856
188.60857142857142,728.6689285714285,1531.8675,728.6689285714285,803.1985714285715,48.0,3.0,2.0,0.9072089438209616,2.233197717070272,11.0,11.0,54.0,0.0
14.863214285714287,-1.0,14.863214285714287,0.0,14.863214285714287,66.0,1.0,1.0,0.0,5.6775170244199486e-05,1.0,4.0,21.0,0.0
60.99785714285714,-1.0,5671.467857142858,0.0,5671.467857142858,49.0,3.0,-1.0,0.0,7155630357.142858,4.0,0.0,0.0,0.0
19.013571428571428,-1.0,3869.186785714286,0.0,3869.186785714286,30.0,2.0,-1.0,0.0,1.3546958693545879,3.0,2.0,32.0,0.0
6398.112142857143,-1.0,14306.995357142858,0.0,14306.995357142858,27.0,2.0,-1.0,0.0,1.0315125499064388,4.0,9.0,26.0,0.0
871.7367857142857,-1.0,871.7367857142857,0.0,871.7367857142857,27.0,1.0,-1.0,0.0,5.9405937300264866e-05,1.0,1.0,1.0,0.0
875.3714285714286,-1.0,875.3714285714286,0.0,875.3714285714286,23.0,4.0,-1.0,0.0,1.176614397429426,4.0,6.0,9.0,0.0
26315.770357142854,-1.0,26315.770357142854,0.0,26315.770357142854,65.0,1.0,1.0,0.0,0.9947384768280623,22.0,13.0,51.0,0.0
186.8460714285714,-1.0,186.8460714285714,0.0,186.8460714285714,35.0,1.0,-1.0,0.0,0.0005416584582266656,1.0,0.0,3.0,0.0
0.0,-1.0,38757.89464285714,0.0,38757.89464285714,63.0,2.0,-1.0,0.0,1.7430521178372704,2.0,0.0,1.0,5.556785714285715
503.99357142857144,-1.0,6023.434285714286,0.0,6023.434285714286,45.0,3.0,-1.0,0.0,0.5754390531804527,6.0,16.0,35.0,0.0
622.2275,-1.0,2159.2817857142854,0.0,2159.2817857142854,45.0,4.0,-1.0,0.0,0.014923588424169285,2.0,19.0,22.0,4.496071428571429
2418.3175,-1.0,62140.076785714286,0.0,62140.076785714286,64.0,3.0,1.0,0.0,1.1699617973424088,2.0,6.0,8.0,0.0
4.145357142857143,-1.0,4.145357142857143,0.0,4.145357142857143,46.0,2.0,-1.0,0.0,3.721441782544639,9.0,2.0,3.0,0.0
169.5635714285714,-1.0,169.5635714285714,0.0,169.5635714285714,33.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
960.5725,0.4642857142857143,960.5725,0.4642857142857143,960.1082142857143,43.0,1.0,1.0,0.00048357644158637846,1.3605264583567596,4.0,0.0,8.0,0.0
0.0,398.34785714285715,90865.86428571428,929.4707142857143,89936.39357142858,64.0,4.0,2.0,0.010334756346852875,0.8007671522709046,4.0,34.0,68.0,0.0
583.7142857142857,-1.0,3490.8085714285717,0.0,3490.8085714285717,54.0,2.0,-1.0,0.0,2.0415803754181874,3.0,0.0,10.0,0.0
1263.0528571428572,-1.0,3056.9528571428573,0.0,3056.9528571428573,45.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3891.1160714285716,-1.0,3891.1160714285716,0.0,3891.1160714285716,20.0,1.0,-1.0,0.0,181.44208944766356,2.0,0.0,1.0,0.0
220.45892857142857,-1.0,220.45892857142857,0.0,220.45892857142857,67.0,1.0,-1.0,0.0,1.005637792944231,4.0,2.0,19.0,0.0
101.32392857142858,671.9992857142857,4206.1728571428575,671.9992857142857,3534.173571428572,62.0,3.0,1.0,0.19014326035280413,0.17792203884696012,9.0,0.0,23.0,0.0
4714.448214285714,-1.0,4714.448214285714,0.0,4714.448214285714,54.0,1.0,1.0,0.0,1.0724294714252922,6.0,1.0,33.0,0.0
1909.81,-1.0,1909.81,0.0,1909.81,41.0,1.0,-1.0,0.0,3.895833893921783,3.0,9.0,21.0,0.0
53.59607142857143,-1.0,53.59607142857143,0.0,53.59607142857143,43.0,1.0,1.0,0.0,0.9002665215342972,2.0,3.0,6.0,0.0
1377.3742857142859,-1.0,1377.3742857142859,0.0,1377.3742857142859,47.0,1.0,-1.0,0.0,0.3416238563177064,4.0,10.0,13.0,0.0
179.35714285714286,-1.0,53771.801785714284,0.0,53771.801785714284,87.0,3.0,1.0,0.0,1.21838322912888,6.0,2.0,4.0,18.353928571428572
3707.065714285714,-1.0,13688.566785714283,0.0,13688.566785714283,59.0,5.0,-1.0,0.0,0.9851131581738496,5.0,5.0,13.0,0.0
178.30857142857144,886.5778571428572,178.30857142857144,4334.251428571429,-4155.942857142857,66.0,1.0,3.0,-1.042904481269519,0.49922770937640787,7.0,0.0,16.0,0.0
3684.7542857142857,-1.0,3684.7542857142857,0.0,3684.7542857142857,24.0,1.0,-1.0,0.0,1.584911270987449,5.0,10.0,64.0,0.0
340.195,-1.0,6013.48,0.0,6013.48,41.0,4.0,-1.0,0.0,50348571.428571425,3.0,0.0,0.0,0.0
5860.190714285714,-1.0,5860.190714285714,0.0,5860.190714285714,86.0,1.0,-1.0,0.0,0.02157894100831212,1.0,0.0,1.0,0.0
11324.907857142856,-1.0,45937.69821428571,0.0,45937.69821428571,20.0,2.0,-1.0,0.0,1.1304014659336836,4.0,14.0,16.0,5.396428571428571
14.855,-1.0,90815.73714285715,0.0,90815.73714285715,43.0,6.0,-1.0,0.0,2.5314947523196043,4.0,3.0,4.0,28.685357142857146
364.4975,-1.0,364.4975,0.0,364.4975,25.0,1.0,1.0,0.0,1.6340659204770283,3.0,2.0,6.0,0.0
